2022-01-19 16:42:39:4239 error: {"method":"POST","params":{},"url":"/login","query":{},"body":"Internal Server Error","responseCode":500,"stack":"QueryFailedError: relation \"users\" does not exist\n    at QueryFailedError.TypeORMError [as constructor] (E:\\work\\test\\nodejs2021Q4-service\\src\\error\\TypeORMError.ts:7:9)\n    at new QueryFailedError (E:\\work\\test\\nodejs2021Q4-service\\src\\error\\QueryFailedError.ts:9:9)\n    at PostgresQueryRunner.<anonymous> (E:\\work\\test\\nodejs2021Q4-service\\src\\driver\\postgres\\PostgresQueryRunner.ts:247:19)\n    at step (E:\\work\\test\\nodejs2021Q4-service\\node_modules\\tslib\\tslib.js:143:27)\n    at Object.throw (E:\\work\\test\\nodejs2021Q4-service\\node_modules\\tslib\\tslib.js:124:57)\n    at rejected (E:\\work\\test\\nodejs2021Q4-service\\node_modules\\tslib\\tslib.js:115:69)\n    at processTicksAndRejections (node:internal/process/task_queues:96:5)"}
2022-01-19 16:48:12:4812 error: "Error: Invalid salt. Salt must be in the form of: $Vers$log2(NumRounds)$saltvalue"
2022-01-19 17:06:47:647 error: "jwt malformed"
2022-01-19 17:06:47:647 error: "jwt malformed"
2022-01-19 17:06:47:647 error: "jwt malformed"
2022-01-19 17:06:47:647 error: "jwt malformed"
2022-01-19 17:06:47:647 error: "jwt malformed"
2022-01-19 17:06:47:647 error: "jwt malformed"
2022-01-19 17:06:47:647 error: "jwt malformed"
2022-01-19 17:06:47:647 error: "jwt malformed"
2022-01-19 17:06:47:647 error: "jwt malformed"
2022-01-19 17:06:47:647 error: "jwt malformed"
2022-01-19 17:06:47:647 error: "jwt malformed"
2022-01-19 17:06:47:647 error: "jwt malformed"
2022-01-19 17:06:47:647 error: "jwt malformed"
2022-01-19 17:06:47:647 error: "jwt malformed"
2022-01-19 17:06:47:647 error: "jwt malformed"
2022-01-19 17:06:47:647 error: "jwt malformed"
2022-01-19 17:06:47:647 error: "jwt malformed"
2022-01-19 17:06:47:647 error: "jwt malformed"
2022-01-19 17:06:47:647 error: "jwt malformed"
2022-01-19 17:06:47:647 error: "jwt malformed"
2022-01-19 17:06:47:647 error: "jwt malformed"
2022-01-19 17:06:47:647 error: "jwt malformed"
2022-01-19 17:06:47:647 error: "jwt malformed"
2022-01-19 17:06:47:647 error: "jwt malformed"
2022-01-19 17:06:47:647 error: "jwt malformed"
2022-01-19 17:06:47:647 error: "jwt malformed"
2022-01-19 17:13:35:1335 error: "jwt malformed"
2022-01-19 17:13:35:1335 error: "jwt malformed"
2022-01-19 17:13:35:1335 error: "jwt malformed"
2022-01-19 17:13:35:1335 error: "jwt malformed"
2022-01-19 17:13:35:1335 error: "jwt malformed"
2022-01-19 17:13:35:1335 error: "jwt malformed"
2022-01-19 17:13:35:1335 error: "jwt malformed"
2022-01-19 17:13:35:1335 error: "jwt malformed"
2022-01-19 17:13:35:1335 error: "jwt malformed"
2022-01-19 17:13:35:1335 error: "jwt malformed"
2022-01-19 17:13:35:1335 error: "jwt malformed"
2022-01-19 17:13:35:1335 error: "jwt malformed"
2022-01-19 17:13:35:1335 error: "jwt malformed"
2022-01-19 17:13:35:1335 error: "jwt malformed"
2022-01-19 17:13:35:1335 error: "jwt malformed"
2022-01-19 17:13:35:1335 error: "jwt malformed"
2022-01-19 17:13:35:1335 error: "jwt malformed"
2022-01-19 17:13:35:1335 error: "jwt malformed"
2022-01-19 17:13:35:1335 error: "jwt malformed"
2022-01-19 17:13:35:1335 error: "jwt malformed"
2022-01-19 17:13:35:1335 error: "jwt malformed"
2022-01-19 17:13:35:1335 error: "jwt malformed"
2022-01-19 17:13:35:1335 error: "jwt malformed"
2022-01-19 17:13:35:1335 error: "jwt malformed"
2022-01-19 17:13:35:1335 error: "jwt malformed"
2022-01-19 17:13:35:1335 error: "jwt malformed"
